TOOL,LD1_mean,STRAWS_min,STRAWS_mean,STRAWS_max,kg_avg,t_avg
EXP_1_0h,-6.483359179437008,-26732.56859854552,-10067.568854484743,6599.730114161968,-18.197130704481175,-0.018197130704481174
EXP_2_2h,-3.22091581799112,15121.105092464662,29394.873695098617,50922.34538769933,53.13123420389074,0.053131234203890744
EXP_3_4h,-2.5212147165706287,28290.55569322825,37858.44270076833,44992.13575861756,68.42913518163876,0.06842913518163876
EXP_5_10h,-1.6045319729217329,44251.315026051365,48946.61683888019,54666.46800238429,88.47100993627593,0.08847100993627594
EXP_8_10h,-1.353600280195443,32035.430787774247,51981.881029242184,72310.57030267682,93.95724996035524,0.09395724996035525
EXP_4_8h,-1.0461451938322417,48441.195270952725,55700.85093552979,64803.87033628917,100.67928806597008,0.10067928806597008
EXP_9_13h,-0.465349758568523,50612.18066408334,62726.13964031116,74985.3621350608,113.37749739986242,0.11337749739986241
EXP_6_10h,-0.26974478883760294,57214.79926349436,65092.17301628934,77659.76917583033,117.65410272694298,0.11765410272694297
EXP_7_10h,-0.22865056897041094,32466.140857733568,65589.2477884657,93585.41450368572,118.55256537765175,0.11855256537765174
EXP_11_26h,0.419794975144545,56113.337859278516,73432.83070965053,96525.31060094206,132.72984150769335,0.13272984150769335
EXP_10_16h,1.7777105595433924,82728.61471158647,89858.14750435321,96001.71588766381,162.41860161411844,0.16241860161411845
EXP_13_38h,1.9826562080737082,32495.398096529723,92337.16552394278,121845.25925094108,166.8994266845266,0.1668994266845266
EXP_12_34h,2.2848062974150185,85152.5461674017,95991.96630390131,120612.47039302981,173.50547909430162,0.1735054790943016
