"TOOL","Predicted_Factor","Count","Total","Percent"
"EXP_10_16h","10-16h",3,13,23.0769230769231
"EXP_10_16h","18-36h",10,13,76.9230769230769
"EXP_11_26h","10-16h",6,8,75
"EXP_11_26h","18-36h",2,8,25
"EXP_12_34h","10-16h",1,14,7.14285714285714
"EXP_12_34h","18-36h",13,14,92.8571428571429
"EXP_13_38h","2-8h",1,17,5.88235294117647
"EXP_13_38h","18-36h",16,17,94.1176470588235
"EXP_1_0h","0",14,14,100
"EXP_2_2h","2-8h",9,10,90
"EXP_2_2h","10-16h",1,10,10
"EXP_3_4h","2-8h",14,14,100
"EXP_4_8h","2-8h",1,5,20
"EXP_4_8h","10-16h",4,5,80
"EXP_5_10h","10-16h",5,5,100
"EXP_6_10h","10-16h",18,19,94.7368421052632
"EXP_6_10h","18-36h",1,19,5.26315789473684
"EXP_7_10h","2-8h",2,22,9.09090909090909
"EXP_7_10h","10-16h",15,22,68.1818181818182
"EXP_7_10h","18-36h",5,22,22.7272727272727
"EXP_8_10h","2-8h",8,14,57.1428571428571
"EXP_8_10h","10-16h",4,14,28.5714285714286
"EXP_8_10h","18-36h",2,14,14.2857142857143
"EXP_9_13h","10-16h",8,8,100
