"TOOL","N_subareas","HOURS_mean","HOURS_median","HOURS_sd","HOURS_mad","STEMS_mean","STEMS_median","STEMS_sd","STEMS_mad","GRAIN_G_PER_STEM","GRAIN_G_mean","GRAIN_G_median","GRAIN_KG_mean","GRAIN_KG_median","GRAIN_KG_sd","GRAIN_KG_mad"
"UW10",23,16.6361594202899,13.9965666666667,9.62762677346222,11.94995368,63175.8153985507,53151.9619166667,36560.9126722228,45379.9490998001,0.3,18952.7446195652,15945.588575,18.9527446195652,15.945588575,10.9682738016668,13.61398472994
"UW11",20,8.93665166666667,7.93498333333333,3.34178315583767,1.24140569,33936.9347041667,30133.0992083333,12690.4215342935,4714.238107775,0.3,10181.08041125,9039.92976249999,10.18108041125,9.03992976249999,3.80712646028806,1.4142714323325
"UW12",16,24.7677979166667,26.9191833333333,4.40730561104021,2.32397549999999,94055.7125885417,102225.598708333,16736.7430579252,8825.29696124998,0.3,28216.7137765625,30667.6796125,28.2167137765625,30.6676796125,5.02102291737755,2.64758908837499
"UW13",20,16.4447866666667,15.4059333333333,4.84577967741365,3.77440308,62449.0773666667,58504.0318333333,18401.8483249783,14333.2956963,0.3,18734.72321,17551.20955,18.73472321,17.55120955,5.5205544974935,4.29998870889
"UW14",24,16.7238138888889,17.8652833333333,8.1192443704357,8.69900724000002,63508.6832430556,67843.4134583333,30832.8304967296,33034.4799939001,0.3,19052.6049729167,20353.0240375,19.0526049729167,20.3530240375,9.24984914901887,9.91034399817002
"UW15",23,25.2118637681159,27.0005666666667,3.9521390839238,1.53404622000002,95742.0526594203,102534.651916667,15008.2481712006,5825.54052045006,0.3,28722.6157978261,30760.395575,28.7226157978261,30.760395575,4.50247445136019,1.74766215613502
"UW16",20,7.36012833333333,7.85248333333333,2.85553140489816,1.6244354,27950.0873458333,29819.8054583333,10843.8805101008,6168.7934315,0.3,8385.02620375,8945.9416375,8.38502620375,8.9459416375,3.25316415303023,1.85063802945
"UW17",24,10.5971833333333,10.1623333333333,3.6974736999388,4.54500913999999,40242.8037083333,38591.4608333334,14041.1563755176,17259.67220915,0.3,12072.8411125,11577.43825,12.0728411125,11.57743825,4.21234691265528,5.17790166274499
"UW18",24,21.9410444444444,26.029,8.07070970038512,4.18683769,83321.1162777778,98845.1275000001,30648.5200872125,15899.516127775,0.3,24996.3348833333,29653.53825,24.9963348833333,29.65353825,9.19455602616375,4.76985483833249
"UW2",20,10.0906733333333,7.6543,7.15606997724669,4.94555823999999,38319.3319833333,29067.20425,27175.1757385943,18780.7574164,0.3,11495.799595,8720.161275,11.495799595,8.720161275,8.1525527215783,5.63422722491999
"UW20",18,22.02535,22.4455166666667,3.59163839940199,3.54909730000003,83641.266625,85236.8495416666,13639.246821729,13477.6969967501,0.3,25092.3799875,25571.0548625,25.0923799875,25.5710548625,4.09177404651871,4.04330909902503
"UW21",11,14.1241848484848,8.0479,10.9064871660796,5.51710054,53636.5919621212,30561.90025,41417.3850131872,20951.18930065,0.3,16090.9775886364,9168.570075,16.0909775886364,9.168570075,12.4252155039562,6.285356790195
"UW22",22,9.72061818181818,8.34045,4.75280503261668,1.53508403999999,36914.0475454546,31672.858875,18048.7771113618,5829.48164189998,0.3,11074.2142636364,9501.8576625,11.0742142636364,9.5018576625,5.41463313340855,1.74884449256999
